licencia_id,nombre_registro,categoria,habitaciones,plazas,origen_coordenada,metodo_cruce,similitud,distancia_m,nombre_raspado,precio,moneda,estrellas_raspadas,puntuacion,fichero_origen,ficha_compartida,dudoso
HB-000002,Suizo,3 estrelles,50,99,registro,coordenada,1.0,3.0,Hotel Suizo,,EUR,3.0,4.2,google_hotels_2026-09-29_eur.csv,False,False
HB-000005,Hostal Abrevadero,No aplica,25,45,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-000006,Hostal Valls,No aplica,9,17,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-000011,HOTEL FORNOS,2 estrelles,29,47,registro,nombre_exacto,1.0,,Hotel Fornos Barcelona,205.81,EUR,2.0,3.7,google_hotels_2026-09-29_eur.csv,False,False
HB-000012,Granvía,3 estrelles,58,105,registro,coordenada,1.0,10.0,Hotel Granvia,258.62,EUR,3.0,4.6,google_hotels_2026-09-29_eur.csv,False,False
HB-000016,Avenida Palace,4 estrelles,150,274,registro,coordenada,1.0,6.0,El Avenida Palace,237.93,EUR,4.0,4.3,google_hotels_2026-09-29_eur.csv,False,False
HB-000017,Astoria,3 estrelles,117,205,registro,coordenada,1.0,11.0,Hotel Astoria,155.14,EUR,3.0,4.4,google_hotels_2026-09-29_eur.csv,False,False
HB-000018,Regina,4 estrelles,99,176,registro,coordenada,1.0,13.0,Hotel Regina,228.93,EUR,4.0,4.4,google_hotels_2026-09-29_eur.csv,False,False
HB-000019,Hostal París,No aplica,41,68,geocodificada,coordenada,1.0,7.0,Hostal París,154.54,EUR,1.0,3.4,google_hotels_2026-09-29_eur.csv,False,False
HB-000022,Autohogar,3 estrelles,152,276,registro,coordenada,0.75,18.0,Hotel Best Auto Hogar,105.26,EUR,3.0,3.8,google_hotels_2026-09-29_eur.csv,False,False
HB-000023,Regencia Colón,3 estrelles,50,95,registro,coordenada,1.0,2.0,Hotel Regencia Colon,,EUR,3.0,4.2,google_hotels_2026-09-29_eur.csv,True,True
HB-000025,Lloret,1 estrella,56,98,registro,coordenada,0.6,2.0,Hotel Lloret Ramblas Barcelona,142.52,EUR,1.0,4.1,google_hotels_2026-09-29_eur.csv,False,False
HB-000026,Rialto,3 estrelles,205,370,registro,coordenada,1.0,9.0,Hotel Rialto,149.37,EUR,3.0,4.0,google_hotels_2026-09-29_eur.csv,False,False
HB-000030,San Agustín,3 estrelles,77,146,registro,coordenada,1.0,15.0,Hotel San Agustin,131.71,EUR,3.0,4.0,google_hotels_2026-09-29_eur.csv,False,False
HB-000033,Hostal Operaramblas,No aplica,68,116,geocodificada,coordenada,0.62,17.0,Dalia Ramblas,176.2,EUR,3.0,4.0,google_hotels_2026-09-29_eur.csv,True,True
HB-000034,Inglés,1 estrella,28,44,registro,sin_cruce,0.0,,,,,,,,False,False
HB-000035,INTERNACIONAL RAMBLAS ATIRAM HOTEL,1 estrella,60,92,registro,sin_cruce,0.0,,,,,,,,False,False
HB-000036,Jardí,No aplica,40,65,geocodificada,coordenada,1.0,2.0,Hotel Jardí,140.91,EUR,2.0,4.0,google_hotels_2026-09-29_eur.csv,False,False
HB-000038,Majestic,Gran luxe,274,531,registro,coordenada,0.8,15.0,Majestic Hotel & Spa Barcelona,369.52,EUR,5.0,4.6,google_hotels_2026-09-29_eur.csv,False,False
HB-000039,Le Meridien Barcelona,Gran luxe,233,466,registro,coordenada,1.0,47.0,Le Méridien,388.55,EUR,5.0,4.4,google_hotels_2026-09-29_eur.csv,False,False
HB-000041,Moderno,3 estrelles,49,86,registro,nombre_cerca,0.32,4.0,Hotel Moderno BCN Free Breakfast in our website.,168.34,EUR,3.0,3.8,google_hotels_2026-09-29_eur.csv,False,False
HB-000042,Mesón de Castilla Atiram Hotel,2 estrelles,57,90,registro,coordenada,1.0,4.0,Meson Castilla Atiram Hotel Barcelona,172.58,EUR,2.0,4.3,google_hotels_2026-09-29_eur.csv,False,False
HB-000043,Montecarlo,4 estrelles,51,96,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-000047,Cataluña,2 estrelles,40,61,registro,coordenada,0.94,5.0,Hotel Catalunya,200.04,EUR,2.0,4.0,google_hotels_2026-09-29_eur.csv,False,False
HB-000049,COLÓN,5 estrelles,125,252,registro,nombre_cerca,0.53,48.0,Hotel Regencia Colon,,EUR,3.0,4.2,google_hotels_2026-09-29_eur.csv,True,True
HB-000050,Comercio,1 estrella,51,88,geocodificada,sin_cruce,0.0,,,,,,,,False,False
HB-000051,HOTEL CONDAL,3 estrelles,52,92,registro,nombre_exacto,1.0,,Hotel Condal,198.5,,,8.3,booking_unificados_2026-09-29.csv,False,False
HB-000053,Continental,3 estrelles,40,73,registro,coordenada,1.0,15.0,Hotel Continental Barcelona,,EUR,3.0,4.2,google_hotels_2026-09-29_eur.csv,False,False
HB-000063,Roma Reial,1 estrella,52,95,registro,coordenada,1.0,9.0,Hotel Roma Reial,,EUR,1.0,3.7,google_hotels_2026-09-29_eur.csv,False,False
